planet,pradius,star,cluster,normalradius,sradius,luminosity,distance
Earth,1,Sun,1203,1,4,1,0
Jupiter,10.97,Sun,1203,1,4,1,0
Mars,0.532,Sun,1203,1,4,1,0
Mercury,0.383,Sun,1203,1,4,1,0
Neptune,3.86,Sun,1203,1,4,1,0
Saturn,9.14,Sun,1203,1,4,1,0
Uranus,3.98,Sun,1203,1,4,1,0
Venus,0.95,Sun,1203,1,4,1,0
HD 1666 b,11.68,HD 1666,302,193,196,53216.69938,110.6
HD 208527 b,11.57,HD 208527,360,51,54,621.020256,320.2
HD 13189 b,11.34,HD 13189,245,50,53,31.793875,185
HD 220074 b,11.51,HD 220074,383,50,53,530.709878,290.2
beta Cnc b,11.65,beta Cnc,44,49,52,545.085116,92.99
BD20 2457 b,10.85,BD20 2457,43,43,46,475.886188,200
BD20 2457 c,11.44,BD20 2457,43,43,46,475.886188,200
beta Umi b,11.68,beta Umi,46,42,45,459.986643,40.14
HD 96127 b,11.66,HD 96127,517,35,38,326.629446,540
HD 240237 b,11.68,HD 240237,397,32,35,332.302917,1500
gamma 1 Leo b,11.62,gamma 1 Leo,90,32,35,320.536881,38.5
sig Per b,11.68,sig Per,1069,28,31,255.822467,108.3
tau Gem b,10.9,tau Gem,1075,27,30,238.905352,98.4
11 UMi b,11.54,11 UMi,2,24,27,184.570281,119.5
HD 47536 b,11.68,HD 47536,449,23,26,181.891516,121.36
HD 47536 c,11.67,HD 47536,449,23,26,181.891516,121.36
HD 122430 b,11.64,HD 122430,235,23,26,160.855015,135
42 Dra b,11.65,42 Dra,19,22,25,135.492709,97.3
SAND364 b,10.95,SAND364,1068,22,25,143.615299,
HD 66141 b,11.68,HD 66141,467,21,24,141.126949,80.9
eps CrB b,11.68,eps CrB,83,21,24,149.109888,67.9
HD 110014 b,11.51,HD 110014,217,21,24,152.992288,90
HD 95127 b,11.68,HD 95127,514,20,23,113.599432,300
11 Com b,10.98,11 Com,1,19,22,163.773362,110.6
4 Uma b,11.67,4 Uma,18,18,21,111.801993,78.5
81 Cet b,11.68,81 Cet,28,18,21,153.030103,97.2
BD+20 274 c,11.67,BD+20 274,40,17,20,91.461682,
HD 1690 b,11.68,HD 1690,307,17,20,93.189619,319
nu Oph b,10.68,nu Oph,1024,15,18,120.649768,46.8
nu Oph c,10.48,nu Oph,1024,15,18,120.649768,46.8
BD+15 2940 b,10.45,BD+15 2940,39,15,18,102.574923,585
eta Cet b,11.46,eta Cet,86,14,17,77.123641,38
eta Cet c,11.61,eta Cet,86,14,17,77.123641,38
omi UMa b,11.66,omi UMa,1053,14,17,134.684024,56.3
alf Ari b,11.15,alf Ari,31,14,17,74.492062,20.2
eps Tau b,11.66,eps Tau,85,14,17,97.15603,45
HD 173416 b,11.5,HD 173416,314,14,17,78.641899,135
HD 11977 b,11.68,HD 11977,232,13,16,92.885705,66.5
HD 81688 b,11.5,HD 81688,491,13,16,77.383406,88.26
HIP 75458 b,11.62,HIP 75458,537,13,16,57.384805,31.5
HD 216536 b,10.89,HD 216536,374,13,16,64.924308,
HD 14067 b,11.65,HD 14067,258,12,15,74.151228,163.4
ome Ser b,11.08,ome Ser,1051,12,15,70.270595,80.6
HD 2952 b,11,HD 2952,410,12,15,71.369944,115.2
ksi Aql b,11.52,ksi Aql,1002,12,15,67.447201,62.7
HD 59686 b,11.68,HD 59686,460,12,15,55.408405,92
HD 139357 b,11.58,HD 139357,257,11,14,57.598094,121.4
mu Leo b,11.42,mu Leo,1020,11,14,49.457726,38.05
14 And b,11.68,14 And,3,11,14,58.25573,76.4
BD +48 738 b,10.09,BD +48 738,33,11,14,41.210186,
HD 233604 b,11.68,HD 233604,394,11,14,56.162641,
HD 104985 b,11.68,HD 104985,202,11,14,55.621122,102
75 Cet b,11.56,75 Cet,27,11,14,54.550918,81.5
omi CrB b,10.92,omi CrB,1052,10,13,49.358867,84
HD 32518 b,11.57,HD 32518,417,10,13,41.233823,117.4
HD 102272 b,11.68,HD 102272,194,10,13,53.106888,360
HD 102272 c,11.48,HD 102272,194,10,13,53.106888,360
HD 145457 b,11.54,HD 145457,266,10,13,45.029051,126
HD 100655 b,11.08,HD 100655,188,9,12,43.326968,122
HD 62509 b,11.54,HD 62509,462,9,12,36.781939,10.34
HD 180314 b,10.81,HD 180314,322,9,12,44.388071,132
HD 120084 b,11.68,HD 120084,233,9,12,42.739089,97.7
HIP 105854 b,11.64,HIP 105854,527,9,12,35.913074,80.84
HD 5891 b,11.66,HD 5891,459,9,12,39.372464,251
91 Aqr b,11.59,91 Aqr,29,9,12,31.06195,45.9
18 Del b,11.55,18 Del,6,9,12,39.83788,73.1
HD 17092 b,11.68,HD 17092,310,8,11,27.678253,109
BD+49 828 b,11,BD+49 828,41,8,11,30.937093,
TYC+1422-614-1 b,11.45,TYC+1422-614-1,1082,7,10,22.459811,759
TYC+1422-614-1 c,11.56,TYC+1422-614-1,1082,7,10,22.459811,759
HD 27442 b,10.77,HD 27442,401,7,10,19.878627,18.1
HD 102329 b,11.68,HD 102329,195,6,9,19.380255,158
Kepler-91 b,15.5,Kepler-91,966,6,9,15.262177,1030
HD 28678 b,11.08,HD 28678,408,6,9,22.896005,227
HIP 78530 b,10.74,HIP 78530,539,6,9,415.085907,156.7
HD 206610 b,11.35,HD 206610,355,6,9,18.840464,194
HD 108863 b,11.48,HD 108863,212,6,9,16.974269,139
HD 240210 b,11.67,HD 240210,396,6,9,9.433483,143
HIP 67851 b,10.86,HIP 67851,535,6,9,15.631599,65.96
HD 5608 b,10.82,HD 5608,457,6,9,15.066566,58.2
HD 99706 b,10.82,HD 99706,525,5,8,15.479954,129
HD 145934 b,11.38,HD 145934,267,5,8,9.336104,
HIP 97233 b,10.94,HIP 97233,542,5,8,16.247527,106.5
6 Lyn b,11.42,6 Lyn,23,5,8,14.897593,56.9
HD 142245 b,11.21,HD 142245,263,5,8,13.736108,109.5
HD 210702 b,11.21,HD 210702,364,5,8,14.70216,56
HIP 63242 b,11.61,HIP 63242,534,5,8,28.619862,135
HD 212771 b,11.39,HD 212771,367,5,8,15.425843,131
kappa CrB b,11,kappa CrB,550,5,8,13.575524,31.1
24 Sex b,11.25,24 Sex,9,5,8,14.550615,74.8
24 Sex c,9.99,24 Sex,9,5,8,14.550615,74.8
gamma Cephei b,11.18,gamma Cephei,91,5,8,11.435285,13.79
HD 18742 b,11.5,HD 18742,331,5,8,13.988123,135
HD 4313 b,11.39,HD 4313,439,5,8,13.844586,137
HD 95089 b,10.58,HD 95089,513,5,8,13.485179,139
HD 152581 b,10.92,HD 152581,279,5,8,14.597787,186
HD 158038 b,11.15,HD 158038,290,5,8,11.887561,103.6
HD 82886 b,10.71,HD 82886,492,5,8,14.116783,125
HD 116029 b,11.31,HD 116029,227,5,8,11.407151,123.2
HD 131496 b,11.35,HD 131496,244,5,8,11.187571,110
HD 181342 b,11.6,HD 181342,324,5,8,11.998938,110.6
HD 1502 b,11.58,HD 1502,275,5,8,11.806911,159
HD 96063 b,10.07,HD 96063,516,5,8,12.76054,158
HD 98219 b,11.15,HD 98219,521,5,8,11.282703,134
Ross 458(AB) c,11.63,Ross 458(AB),1064,5,8,3.924729,114
HD 102956 b,10.19,HD 102956,197,4,7,11.332774,126
HD 167042 b,11,HD 167042,304,4,7,10.535173,50
HD 200964 b,11.18,HD 200964,348,4,7,11.797004,68.4
HD 200964 c,10.06,HD 200964,348,4,7,11.797004,68.4
HD 192699 b,11.45,HD 192699,340,4,7,12.032329,67
Kepler-56 b,6.5,Kepler-56,928,4,7,8.809515,
Kepler-56 c,9.86,Kepler-56,928,4,7,8.809515,
Kepler-56 d,11.6,Kepler-56,928,4,7,8.809515,
HD 30856 b,11.15,HD 30856,414,4,7,9.749972,118.1
HD 33142 b,10.71,HD 33142,419,4,7,10.309598,126
Kepler-432 b,16.24,Kepler-432,902,4,7,9.81298,874
KOI-1299 c,11.49,KOI-1299,988,4,7,9.81298,874
HD 180902 b,11,HD 180902,323,4,7,9.654493,110
HD 175541 b,9.28,HD 175541,316,4,7,8.717929,128
HD 1605 b,10.19,HD 1605,293,4,7,6.634216,84.6
HD 1605 c,11.62,HD 1605,293,4,7,6.634216,84.6
HR 228 b,11.41,HR 228,544,4,7,8.3521,
HR 228 c,11.41,HR 228,544,4,7,8.3521,
Kepler-391 b,3.19,Kepler-391,873,4,7,6.809796,
Kepler-391 c,3.54,Kepler-391,873,4,7,6.809796,
HD 136418 b,11.26,HD 136418,253,3,6,6.858389,98.2
HD 5319 b,11.23,HD 5319,456,3,6,6.211241,100
HD 148427 b,10.19,HD 148427,272,3,6,6.059753,59.3
HD 177830 b,10.91,HD 177830,318,3,6,4.807851,59
HD 177830 c,6.2,HD 177830,318,3,6,4.807851,59
Kepler-278 b,4.07,Kepler-278,749,3,6,4.812101,
Kepler-278 c,3.58,Kepler-278,749,3,6,4.812101,
HD 219415 b,10.27,HD 219415,381,3,6,4.072622,
HD 60532 b,11.58,HD 60532,461,3,6,8.787519,25.7
HD 60532 c,11.66,HD 60532,461,3,6,8.787519,25.7
HD 73534 b,10.51,HD 73534,480,3,6,3.788822,96.99
Kepler-13 b,15.75,Kepler-13,584,3,6,30.454107,
HD 38801 b,11.53,HD 38801,428,3,6,4.270497,99.4
HD 106270 b,11.52,HD 106270,204,3,6,5.665917,84.9
HD 196067 b,11.67,HD 196067,343,2,5,6.680477,44.3
HD 38529 b,9.79,HD 38529,427,2,5,5.626708,39.28
HD 38529 c,11.1,HD 38529,427,2,5,5.626708,39.28
WASP-71 b,16.8,WASP-71,1165,2,5,6.469748,200
HD 118203 b,11.76,HD 118203,230,2,5,4.686703,88.6
WASP-78 b,19.6,WASP-78,1171,2,5,6.628774,550
7 CMa b,11.48,7 CMa,25,2,5,2.502723,19.75
kappa And b,13.44,kappa And,549,2,5,78.383925,51.6
HAT-P-40 b,19.38,HAT-P-40,159,2,5,5.966438,501
Kepler-108 b,8.65,Kepler-108,562,2,5,5.053461,
Kepler-108 c,8.18,Kepler-108,562,2,5,5.053461,
HD 11964 b,9.32,HD 11964,231,2,5,3.234284,33.98
HD 11964 c,5.02,HD 11964,231,2,5,3.234284,33.98
WASP-82 b,18.7,WASP-82,1175,2,5,7.611255,200
KIC-5010054 b,6.94,KIC-5010054,975,2,5,4.008494,
HD 156411 b,9.69,HD 156411,287,2,5,5.072306,55.1
HD 89744 b,11.67,HD 89744,506,2,5,6.055681,40
HD 89744 c,11.59,HD 89744,506,2,5,6.055681,40
Kepler-40 b,13.1,Kepler-40,883,2,5,7.310936,2700
KIC-10255705 b,7.28,KIC-10255705,970,2,5,2.58127,
HD 114613 b,8.75,HD 114613,222,2,5,4.272489,20.67
HD 39091 b,11.55,HD 39091,430,2,5,4.755538,18.32
HD 23596 b,11.65,HD 23596,395,2,5,4.710355,52
KIC-11152511 b,4.03,KIC-11152511,972,2,5,3.000873,
WASP-88 b,19.04,WASP-88,1179,2,5,6.639428,
WASP-73 b,12.99,WASP-73,1167,2,5,5.082761,
Kepler-14 b,12.72,Kepler-14,594,2,5,6.293785,980
KOI-368.01 b,20.5,KOI-368.01,996,2,5,27.498413,
ROXs 42B b,11.57,ROXs 42B,1066,2,5,0.086431,135
HD 159868 b,11.31,HD 159868,292,2,5,3.073415,52.7
HD 159868 c,9.66,HD 159868,292,2,5,3.073415,52.7
Kepler-368 b,3.26,Kepler-368,847,2,5,3.354864,
Kepler-368 c,3.88,Kepler-368,847,2,5,3.354864,
Kepler-7 b,18.08,Kepler-7,943,2,5,4.536177,
HAT-P-7 b,16.03,HAT-P-7,175,2,5,5.507693,320
HD 216435 b,10.66,HD 216435,372,2,5,3.969626,33.3
WASP-100 b,18.93,WASP-100,1092,2,5,8.134786,
KIC-5732155 b,12.77,KIC-5732155,978,2,5,3.897421,
Kepler-145 b,2.65,Kepler-145,600,2,5,5.220922,
Kepler-145 c,4.42,Kepler-145,600,2,5,5.220922,
WASP-72 b,14.22,WASP-72,1166,2,5,5.367106,
WASP-90 b,18.26,WASP-90,1180,2,5,6.012626,340
70 Vir b,11.68,70 Vir,26,2,5,3.025375,22
CoRoT-21 b,14.56,CoRoT-21,62,2,5,5.015286,
HD 171028 b,11.25,HD 171028,311,2,5,3.508693,90
HD 19994 b,11.06,HD 19994,346,2,5,4.285198,22.38
HD 88133 b,11.2,HD 88133,504,2,5,3.044802,74.5
HD 219077 b,11.55,HD 219077,380,2,5,2.674337,29.35
HD 185269 b,10.16,HD 185269,328,2,5,4.055181,47
HD 43691 b,11.45,HD 43691,441,2,5,4.643354,93.2
HD 48265 b,10.53,HD 48265,450,2,5,3.935708,87.4
HD 86264 b,11.67,HD 86264,501,2,5,4.715981,72.6
WASP-63 b,16.02,WASP-63,1156,2,5,3.00869,330
HD 16175 b,11.67,HD 16175,295,2,5,4.066101,59.8
HD 96167 b,9.51,HD 96167,518,2,5,3.44048,84
Kepler-21 b,1.63,Kepler-21,674,2,5,4.385721,108
HR 810 b,11.37,HR 810,545,2,5,3.971636,17.17
Kepler-335 b,3.38,Kepler-335,812,2,5,3.663161,
Kepler-335 c,3.07,Kepler-335,812,2,5,3.663161,
Kepler-340 b,2.53,Kepler-340,818,2,5,5.897463,
Kepler-340 c,3.37,Kepler-340,818,2,5,5.897463,
WASP-106 b,12.15,WASP-106,1096,2,5,3.97959,283
WASP-111 b,16.15,WASP-111,1101,2,5,5.151731,210
Fomalhaut b,11.56,Fomalhaut,87,2,5,16.574551,7.7
HD 169830 b,11.54,HD 169830,308,2,5,4.682599,36.32
HD 169830 c,11.66,HD 169830,308,2,5,4.682599,36.32
KELT-2A b,14.63,KELT-2A,553,2,5,4.349152,128.9
HAT-P-49 b,15.83,HAT-P-49,167,2,5,6.521572,322
Kepler-33 b,1.79,Kepler-33,806,2,5,3.610921,
Kepler-33 c,3.25,Kepler-33,806,2,5,3.610921,
Kepler-33 d,5.38,Kepler-33,806,2,5,3.610921,
Kepler-33 e,4.03,Kepler-33,806,2,5,3.610921,
Kepler-33 f,4.48,Kepler-33,806,2,5,3.610921,
Kepler-87 b,13.55,Kepler-87,961,2,5,2.922704,
Kepler-87 c,6.15,Kepler-87,961,2,5,2.922704,
Kepler-217 b,2.23,Kepler-217,682,2,5,4.215578,
Kepler-217 c,1.85,Kepler-217,682,2,5,4.215578,
TrES-4b,19.11,TrES-4b,1079,2,5,4.285839,479
CoRoT-26 b,14.11,CoRoT-26,67,2,5,2.807005,1670
HD 106906 b,11.52,HD 106906,207,2,5,5.147254,92
HD 196885 A b,11.56,HD 196885 A,344,2,5,4.644649,33
Kepler-5 b,16.03,Kepler-5,921,2,5,4.535083,
HAT-P-33 b,20.46,HAT-P-33,151,2,5,4.756155,419
HD 154857 b,11.36,HD 154857,284,2,5,2.442906,64.2
HD 154857 c,11.47,HD 154857,284,2,5,2.442906,64.2
Kepler-337 b,1.53,Kepler-337,814,2,5,2.900891,
Kepler-337 c,2.05,Kepler-337,814,2,5,2.900891,
Kepler-38(AB) b,4.37,Kepler-38(AB),860,2,5,2.802527,
WASP-99 b,12.32,WASP-99,1187,2,5,4.053863,
WASP-48 b,18.7,WASP-48,1140,2,5,3.537312,
WASP-66 b,15.57,WASP-66,1159,2,5,5.213648,380
Kepler-338 b,2.44,Kepler-338,815,2,5,3.343146,
Kepler-338 c,2.34,Kepler-338,815,2,5,3.343146,
Kepler-338 d,3,Kepler-338,815,2,5,3.343146,
KELT-7 b,17.17,KELT-7,556,2,5,5.717536,129
WASP-76 b,20.5,WASP-76,1169,2,5,4.09734,120
HD 10697 b,11.68,HD 10697,208,2,5,2.68764,32.56
HD 13908 b,10,HD 13908,255,2,5,4.026799,71.2
HD 13908 c,11.68,HD 13908,255,2,5,4.026799,71.2
BD-10 3166 b,11.54,BD-10 3166,36,2,5,2.230782,66
HD 31253 b,8.84,HD 31253,415,2,5,3.310298,53.82
HAT-P-50 b,14.43,HAT-P-50,169,2,5,4.023498,597
HD 219828 b,5.14,HD 219828,382,2,5,3.122798,81.1
HD 224693 b,9.6,HD 224693,389,2,5,3.444073,94
Kepler-64(AB) b,6.19,Kepler-64(AB),937,2,5,13.87488,
HD 222155 b,11.21,HD 222155,387,2,5,2.763886,49.1
Kepler-101 b,5.87,Kepler-101,558,2,5,2.408483,
Kepler-101 c,1.33,Kepler-101,558,2,5,2.408483,
Kepler-36 b,1.48,Kepler-36,838,2,5,2.995809,
Kepler-36 c,3.68,Kepler-36,838,2,5,2.995809,
Kepler-89 b,1.71,Kepler-89,963,2,5,3.442552,
Kepler-89 c,4.32,Kepler-89,963,2,5,3.442552,
Kepler-89 d,11.2,Kepler-89,963,2,5,3.442552,
Kepler-89 e,6.16,Kepler-89,963,2,5,3.442552,
CoRoT-19 b,14.45,CoRoT-19,59,2,5,3.359904,800
Kepler-277 b,2.92,Kepler-277,748,2,5,3.862545,
Kepler-277 c,3.36,Kepler-277,748,2,5,3.862545,
HD 30562 b,10.7,HD 30562,412,2,5,2.837097,26.5
HD 74156 b,11.19,HD 74156,481,2,5,3.044827,64.56
HD 74156 c,11.65,HD 74156,481,2,5,3.044827,64.56
Kepler-129 b,2.36,Kepler-129,583,2,5,2.674735,
Kepler-129 c,2.54,Kepler-129,583,2,5,2.674735,
OGLE-TR-211 b,14.11,OGLE-TR-211,1047,2,5,3.862066,
WASP-79 b,19.04,WASP-79,1172,2,5,4.578817,240
HD 163607 b,9.77,HD 163607,297,2,5,2.250321,69
HD 163607 c,11.38,HD 163607,297,2,5,2.250321,69
ups And b,9.31,ups And,1083,2,5,3.55405,13.47
ups And c,11.15,ups And,1083,2,5,3.55405,13.47
ups And d,11.56,ups And,1083,2,5,3.55405,13.47
ups And e,10.37,ups And,1083,2,5,3.55405,13.47
WASP-87A b,15.51,WASP-87A,1178,2,5,4.110586,240
HAT-P-39 b,17.6,HAT-P-39,157,2,5,4.049865,642
CoRoT-23 b,12.1,CoRoT-23,64,2,5,2.818056,600
HD 90156 b,4.5,HD 90156,507,2,5,2.266681,39.6
HD 75898 b,11.45,HD 75898,484,2,5,3.018591,80.58
HD169142 b,10.3,HD169142,526,2,5,7.86639,145
WASP-12 b,19.44,WASP-12,1104,2,5,3.613674,427
CoRoT-17 b,11.42,CoRoT-17,57,2,5,2.462247,920
HAT-P-4 b,14.22,HAT-P-4,158,2,5,2.729891,310
HD 215456 b,5.45,HD 215456,370,2,5,2.802639,38
HD 215456 c,7.25,HD 215456,370,2,5,2.802639,38
HD 220773 b,10.87,HD 220773,385,2,5,2.807968,49
Kepler-207 b,1.57,Kepler-207,671,2,5,2.785934,
Kepler-207 c,1.5,Kepler-207,671,2,5,2.785934,
Kepler-207 d,3.3,Kepler-207,671,2,5,2.785934,
HAT-P-8 b,16.8,HAT-P-8,176,2,5,3.309563,230
HD 149143 b,11.76,HD 149143,274,2,5,2.391559,63
HD 16417 b,4.8,HD 16417,298,2,5,2.761089,25.5
KELT-6 b,13.33,KELT-6,555,2,5,3.105223,
Kepler-50 b,2.24,Kepler-50,922,2,5,3.363268,
Kepler-50 c,2.8,Kepler-50,922,2,5,3.363268,
Kepler-381 b,0.99,Kepler-381,862,2,5,3.167776,
Kepler-381 c,1.12,Kepler-381,862,2,5,3.167776,
HAT-P-13 b,14.34,HAT-P-13,130,2,5,2.206172,214
HAT-P-13 c,11.32,HAT-P-13,130,2,5,2.206172,214
HD 67087 b,11.57,HD 67087,469,2,5,3.460733,88.8
HD 67087 c,11.68,HD 67087,469,2,5,3.460733,88.8
Kepler-128 b,1.13,Kepler-128,582,2,5,2.817851,
Kepler-128 c,1.13,Kepler-128,582,2,5,2.817851,
Kepler-264 b,3.33,Kepler-264,734,2,5,3.099645,
Kepler-264 c,2.82,Kepler-264,734,2,5,3.099645,
XO-4 b,15.01,XO-4,1198,2,5,2.275373,293
HAT-P-2 b,10.65,HAT-P-2,136,2,5,3.6012,118
Kepler-313 b,2.53,Kepler-313,788,2,5,2.28897,
Kepler-313 c,2.56,Kepler-313,788,2,5,2.28897,
HAT-P-42 b,14.3,HAT-P-42,161,2,5,2.278725,447
HD 190984 b,11.58,HD 190984,337,2,5,2.700225,103
Kepler-92 b,3.52,Kepler-92,967,2,5,1.873887,
Kepler-92 c,2.61,Kepler-92,967,2,5,1.873887,
OGLE2-TR-L9 b,18.08,OGLE2-TR-L9,1049,2,5,4.852411,900
HD 23127 b,10.92,HD 23127,392,2,5,2.557145,89.1
Kepler-23 b,1.9,Kepler-23,696,2,5,2.281744,
Kepler-23 c,3.25,Kepler-23,696,2,5,2.281744,
HD 168443 b,11.66,HD 168443,305,2,5,1.998949,37.38
HD 168443 c,11.13,HD 168443,305,2,5,1.998949,37.38
HD 17156 b,12.26,HD 17156,313,2,5,2.786256,78.24
HATS-9 b,11.93,HATS-9,187,2,5,1.636574,622
HD 113337 b,11.53,HD 113337,219,2,5,3.77732,36.9
HD 149026 b,8.04,HD 149026,273,2,5,2.87069,78.9
HD 213240 b,11.68,HD 213240,368,2,5,2.572906,40.75
HR 8799 b,13.44,HR 8799,546,2,5,5.847799,39.4
HR 8799 c,14.56,HR 8799,546,2,5,5.847799,39.4
HR 8799 d,13.44,HR 8799,546,2,5,5.847799,39.4
HR 8799 e,11.61,HR 8799,546,2,5,5.847799,39.4
Kepler-60 b,2.24,Kepler-60,933,2,5,2.471106,
Kepler-60 c,2.46,Kepler-60,933,2,5,2.471106,
Kepler-60 d,2.58,Kepler-60,933,2,5,2.471106,
HD 190647 b,11.21,HD 190647,336,1,4,1.976963,54.2
HD 73526 b,11.54,HD 73526,479,1,4,1.944955,99
HD 73526 c,11.45,HD 73526,479,1,4,1.944955,99
Kepler-219 b,2.95,Kepler-219,684,1,4,2.232422,
Kepler-219 c,3.57,Kepler-219,684,1,4,2.232422,
Kepler-219 d,2.81,Kepler-219,684,1,4,2.232422,
Kepler-363 b,1.15,Kepler-363,842,1,4,1.949134,
Kepler-363 c,1.69,Kepler-363,842,1,4,1.949134,
Kepler-363 d,2.05,Kepler-363,842,1,4,1.949134,
Kepler-4 b,4,Kepler-4,882,1,4,2.334601,550
Kepler-8 b,15.89,Kepler-8,952,1,4,2.952112,1330
XO-3 b,13.63,XO-3,1197,1,4,4.211505,260
HD 103774 b,8.14,HD 103774,200,1,4,3.441323,55
HD 179079 b,5.04,HD 179079,320,1,4,2.109657,63.69
HD 28254 b,10.53,HD 28254,405,1,4,2.022582,56.2
KELT-3 b,14.93,KELT-3,554,1,4,3.112083,178
Kepler-12 b,18.98,Kepler-12,573,1,4,2.468106,
WASP-15 b,15.99,WASP-15,1107,1,4,3.08328,308
HAT-P-14 b,13.44,HAT-P-14,131,1,4,3.668747,205
KELT-1 b,12.5,KELT-1,552,1,4,3.49977,263
Kepler-117 b,7.81,Kepler-117,570,1,4,2.807913,
Kepler-117 c,11.29,Kepler-117,570,1,4,2.807913,
Kepler-147 b,1.52,Kepler-147,602,1,4,2.532798,
Kepler-147 c,2.43,Kepler-147,602,1,4,2.532798,
Kepler-312 b,1.29,Kepler-312,787,1,4,2.710881,
Kepler-312 c,3.15,Kepler-312,787,1,4,2.710881,
Kepler-342 b,2.25,Kepler-342,820,1,4,2.818853,
Kepler-342 c,1.96,Kepler-342,820,1,4,2.818853,
Kepler-342 d,2.49,Kepler-342,820,1,4,2.818853,
HAT-P-6 b,14.9,HAT-P-6,174,1,4,3.563338,200
HD 114729 b,9.94,HD 114729,223,1,4,1.965509,35
HD 141399 b,8.65,HD 141399,259,1,4,1.578537,36.17
HD 141399 c,10.78,HD 141399,259,1,4,1.578537,36.17
HD 141399 d,10.61,HD 141399,259,1,4,1.578537,36.17
HD 141399 e,9.54,HD 141399,259,1,4,1.578537,36.17
HD 38283 b,7.97,HD 38283,426,1,4,2.380579,37.7
Kepler-212 b,1.09,Kepler-212,677,1,4,2.242915,
Kepler-212 c,2.73,Kepler-212,677,1,4,2.242915,
Kepler-270 b,2,Kepler-270,741,1,4,2.591145,
Kepler-270 c,1.77,Kepler-270,741,1,4,2.591145,
HAT-P-34 b,12.4,HAT-P-34,152,1,4,3.385968,257
Kepler-116 b,3.42,Kepler-116,569,1,4,2.68451,
Kepler-116 c,2.3,Kepler-116,569,1,4,2.68451,
SWEEPS-11b,12.66,SWEEPS-11b,1072,1,4,1.4641,8500
CoRoT-3 b,11.31,CoRoT-3,69,1,4,3.441126,680
HAT-P-35 b,14.92,HAT-P-35,153,1,4,2.55137,535
WASP-103 b,17.11,WASP-103,1094,1,4,2.578479,470
WASP-33 b,16.11,WASP-33,1125,1,4,5.609849,116
Kepler-133 b,1.76,Kepler-133,587,1,4,1.986088,
Kepler-133 c,2.83,Kepler-133,587,1,4,1.986088,
Kepler-343 b,2.41,Kepler-343,821,1,4,2.086264,
Kepler-343 c,2.02,Kepler-343,821,1,4,2.086264,
WASP-7 b,14.9,WASP-7,1163,1,4,3.086709,140
HD 109271 b,4.42,HD 109271,215,1,4,2.01736,62
HD 109271 c,4.95,HD 109271,215,1,4,2.01736,62
Kepler-43 b,13.44,Kepler-43,901,1,4,2.409361,1950
HD 109749 b,11.09,HD 109749,216,1,4,1.744633,59
Kepler-107 b,1.56,Kepler-107,561,1,4,2.090492,
Kepler-107 c,1.8,Kepler-107,561,1,4,2.090492,
Kepler-107 d,1.06,Kepler-107,561,1,4,2.090492,
Kepler-107 e,3.45,Kepler-107,561,1,4,2.090492,
Kepler-410A b,2.84,Kepler-410A,891,1,4,2.946109,132
Kepler-65 b,1.42,Kepler-65,938,1,4,2.654447,
Kepler-65 c,2.58,Kepler-65,938,1,4,2.654447,
Kepler-65 d,1.51,Kepler-65,938,1,4,2.654447,
HAT-P-46 b,14.38,HAT-P-46,166,1,4,2.452824,296
HAT-P-46 c,11.26,HAT-P-46,166,1,4,2.452824,296
HATS-3 b,15.47,HATS-3,183,1,4,2.877349,453
HD 181720 b,8.16,HD 181720,326,1,4,1.960542,56
Kepler-419 b,9.52,Kepler-419,895,1,4,2.649098,
Kepler-419 c,11.67,Kepler-419,895,1,4,2.649098,
HAT-P-32 b,22.81,HAT-P-32,150,1,4,2.238398,320
HD 8673 b,11.33,HD 8673,502,1,4,3.041399,38.25
Kepler-39 b,13.66,Kepler-39,871,1,4,2.662054,1200
Kepler-6 b,14.82,Kepler-6,932,1,4,1.765287,
WASP-20 b,16.34,WASP-20,1113,1,4,2.178895,210
HD 11506 b,11.62,HD 11506,226,1,4,2.301257,53.82
HD 11506 c,9.89,HD 11506,226,1,4,2.301257,53.82
HD 195019 b,11.64,HD 195019,341,1,4,1.916293,37.36
HD 34445 b,9.82,HD 34445,422,1,4,1.982025,46.5
HD 50499 b,11.09,HD 50499,452,1,4,2.073218,47.26
Kepler-275 b,2.34,Kepler-275,746,1,4,2.4682,
Kepler-275 c,3.38,Kepler-275,746,1,4,2.4682,
Kepler-275 d,3.33,Kepler-275,746,1,4,2.4682,
Kepler-393 b,1.29,Kepler-393,875,1,4,2.506859,
Kepler-393 c,1.33,Kepler-393,875,1,4,2.506859,
WASP-1 b,16.62,WASP-1,1090,1,4,2.532052,
WASP-17 b,22.3,WASP-17,1109,1,4,3.341447,
HD 187085 b,9.71,HD 187085,329,1,4,2.280546,44.98
HD 8574 b,11.31,HD 8574,498,1,4,2.301152,44.2
CoRoT-11 b,16.02,CoRoT-11,52,1,4,2.686251,560
HAT-P-31 b,11.98,HAT-P-31,149,1,4,2.245385,354
HD 106515A b,11.59,HD 106515A,206,1,4,1.23904,35.2
HD 155358 b,9.96,HD 155358,285,1,4,1.990384,43
HD 155358 c,9.89,HD 155358,285,1,4,1.990384,43
HD 72659 b,11.58,HD 72659,476,1,4,2.046512,49.8
Kepler-126 b,1.52,Kepler-126,580,1,4,2.51436,
Kepler-126 c,1.58,Kepler-126,580,1,4,2.51436,
Kepler-126 d,2.5,Kepler-126,580,1,4,2.51436,
