i,continent,continentID,region,cluster,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,
Sudan,Africa,1,North Africa,9,The Second Sudanese Civil War,The Second Sudanese Civil War,The Second Sudanese Civil War and The Lord's Resistance Army insurgency,The Second Sudanese Civil War and The Lord's Resistance Army insurgency,The Second Sudanese Civil War and The Lord's Resistance Army insurgency,The Second Sudanese Civil War and The Lord's Resistance Army insurgency,The Second Sudanese Civil War and The Lord's Resistance Army insurgency,The Second Sudanese Civil War and The Lord's Resistance Army insurgency,The Second Sudanese Civil War and The Lord's Resistance Army insurgency,The Second Sudanese Civil War and The Lord's Resistance Army insurgency,The Second Sudanese Civil War and The Lord's Resistance Army insurgency,The Second Sudanese Civil War and The Lord's Resistance Army insurgency,The Second Sudanese Civil War and The Lord's Resistance Army insurgency,The Second Sudanese Civil War and The Lord's Resistance Army insurgency,The Second Sudanese Civil War and The Lord's Resistance Army insurgency,The Second Sudanese Civil War and The Lord's Resistance Army insurgency,The Second Sudanese Civil War and The Lord's Resistance Army insurgency,The Second Sudanese Civil War and The Lord's Resistance Army insurgency,"The Second Sudanese Civil War, The Lord's Resistance Army insurgency, and The War in Darfur","The Second Sudanese Civil War, The Lord's Resistance Army insurgency, and The War in Darfur","The Second Sudanese Civil War, The Lord's Resistance Army insurgency, and The War in Darfur",The Lord's Resistance Army insurgency and The War in Darfur,The Lord's Resistance Army insurgency and The War in Darfur,The Lord's Resistance Army insurgency and The War in Darfur,"The Lord's Resistance Army insurgency, The War in Darfur, and The Sudanese Nomadic Conflicts","The Lord's Resistance Army insurgency, The War in Darfur, and The Sudanese Nomadic Conflicts","The Lord's Resistance Army insurgency, The War in Darfur, The Sudanese Nomadic Conflicts, and The Sudanese conflict in South Kordofan and Blue Nile","The Lord's Resistance Army insurgency, The War in Darfur, The Sudanese Nomadic Conflicts, and The Sudanese conflict in South Kordofan and Blue Nile","The Lord's Resistance Army insurgency, The War in Darfur, The Sudanese Nomadic Conflicts, and The Sudanese conflict in South Kordofan and Blue Nile",
Tunisia,Africa,1,North Africa,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,Africa,1,North Africa,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Africa,1,South Africa,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Africa,1,South Africa,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Africa,1,South Africa,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Africa,1,South Africa,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,Africa,1,South Africa,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Africa,1,West Africa,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,Africa,1,West Africa,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,Africa,1,West Africa,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,Africa,1,West Africa,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,Africa,1,West Africa,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Africa,1,West Africa,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,Africa,1,West Africa,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,Africa,1,West Africa,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,Africa,1,West Africa,17,,,,,The First Liberian Civil War,The First Liberian Civil War,The First Liberian Civil War,The First Liberian Civil War,The First Liberian Civil War,The First Liberian Civil War,The First Liberian Civil War,The First Liberian Civil War,The First Liberian Civil War,,The Second Liberian Civil War ,The Second Liberian Civil War ,The Second Liberian Civil War ,The Second Liberian Civil War ,The Second Liberian Civil War ,,,,,,,,,,,
Mali,Africa,1,West Africa,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,Africa,1,West Africa,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Africa,1,West Africa,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Africa,1,West Africa,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Africa,1,West Africa,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,Africa,1,West Africa,17,,,,,,,The Sierra Leone Civil War,The Sierra Leone Civil War,The Sierra Leone Civil War,The Sierra Leone Civil War,The Sierra Leone Civil War,The Sierra Leone Civil War,The Sierra Leone Civil War,The Sierra Leone Civil War,The Sierra Leone Civil War,The Sierra Leone Civil War,The Sierra Leone Civil War,The Sierra Leone Civil War,,,,,,,,,,,,
Togo,Africa,1,West Africa,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Asia,2,Central Asia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dem. People's Rep. of Korea,Asia,2,Central Asia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Asia,2,Central Asia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,Asia,2,Central Asia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,Asia,2,Central Asia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,Asia,2,Central Asia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rep. of Korea,Asia,2,Central Asia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,Asia,2,Central Asia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibetan,Asia,2,Central Asia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,Asia,2,Central Asia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,Asia,2,Central Asia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
